Python matches: 1424
Verilog matches: 1420

Missing in Verilog:
Row 1 Col 61
Row 1 Col 90
Row 1 Col 112
Row 1 Col 126
Row 2 Col 10
Row 2 Col 55
Row 2 Col 128
Row 3 Col 28
Row 3 Col 90
Row 3 Col 121
Row 3 Col 126
Row 3 Col 136
Row 4 Col 0
Row 4 Col 94
Row 5 Col 89
Row 5 Col 129
Row 6 Col 0
Row 6 Col 38
Row 6 Col 48
Row 6 Col 91
Row 7 Col 1
Row 7 Col 24
Row 7 Col 60
Row 7 Col 113
Row 8 Col 18
Row 8 Col 66
Row 8 Col 136
Row 9 Col 14
Row 9 Col 80
Row 9 Col 99
Row 9 Col 122
Row 10 Col 5
Row 10 Col 48
Row 10 Col 53
Row 10 Col 64
Row 10 Col 78
Row 10 Col 101
Row 10 Col 115
Row 10 Col 116
Row 10 Col 136
Row 11 Col 20
Row 11 Col 76
Row 11 Col 102
Row 11 Col 108
Row 11 Col 131
Row 12 Col 7
Row 12 Col 17
Row 12 Col 36
Row 12 Col 40
Row 12 Col 58
Row 12 Col 100
Row 12 Col 131
Row 13 Col 18
Row 13 Col 34
Row 13 Col 56
Row 13 Col 63
Row 13 Col 86
Row 13 Col 106
Row 13 Col 108
Row 14 Col 58
Row 15 Col 1
Row 15 Col 17
Row 15 Col 58
Row 15 Col 62
Row 15 Col 84
Row 15 Col 85
Row 15 Col 106
Row 15 Col 111
Row 16 Col 12
Row 16 Col 42
Row 16 Col 52
Row 16 Col 67
Row 16 Col 127
Row 17 Col 0
Row 17 Col 2
Row 17 Col 46
Row 17 Col 50
Row 17 Col 71
Row 17 Col 129
Row 17 Col 136
Row 18 Col 66
Row 18 Col 117
Row 19 Col 20
Row 19 Col 22
Row 19 Col 24
Row 19 Col 111
Row 19 Col 134
Row 19 Col 136
Row 20 Col 87
Row 20 Col 127
Row 20 Col 136
Row 21 Col 132
Row 21 Col 136
Row 23 Col 0
Row 23 Col 35
Row 23 Col 44
Row 23 Col 111
Row 23 Col 116
Row 23 Col 124
Row 23 Col 126
Row 23 Col 136
Row 24 Col 18
Row 24 Col 79
Row 24 Col 80
Row 24 Col 136
Row 25 Col 68
Row 25 Col 74
Row 26 Col 5
Row 26 Col 13
Row 26 Col 17
Row 26 Col 113
Row 27 Col 61
Row 27 Col 90
Row 28 Col 113
Row 28 Col 115
Row 30 Col 0
Row 30 Col 7
Row 30 Col 109
Row 30 Col 113
Row 31 Col 3
Row 31 Col 33
Row 31 Col 118
Row 32 Col 5
Row 32 Col 66
Row 32 Col 107
Row 32 Col 108
Row 33 Col 0
Row 33 Col 43
Row 33 Col 89
Row 34 Col 25
Row 34 Col 136
Row 35 Col 27
Row 35 Col 36
Row 35 Col 49
Row 35 Col 102
Row 36 Col 1
Row 36 Col 25
Row 36 Col 94
Row 36 Col 95
Row 36 Col 136
Row 37 Col 34
Row 37 Col 38
Row 37 Col 114
Row 37 Col 125
Row 38 Col 0
Row 38 Col 23
Row 38 Col 40
Row 38 Col 75
Row 38 Col 114
Row 38 Col 130
Row 38 Col 136
Row 39 Col 20
Row 39 Col 95
Row 40 Col 16
Row 40 Col 91
Row 40 Col 126
Row 40 Col 136
Row 41 Col 7
Row 41 Col 35
Row 41 Col 128
Row 42 Col 9
Row 42 Col 66
Row 42 Col 68
Row 42 Col 130
Row 42 Col 136
Row 43 Col 79
Row 43 Col 102
Row 43 Col 103
Row 43 Col 117
Row 43 Col 125
Row 44 Col 66
Row 44 Col 97
Row 44 Col 136
Row 45 Col 33
Row 45 Col 75
Row 45 Col 77
Row 45 Col 136
Row 46 Col 10
Row 46 Col 17
Row 46 Col 90
Row 46 Col 95
Row 46 Col 97
Row 46 Col 123
Row 47 Col 4
Row 47 Col 73
Row 47 Col 111
Row 47 Col 118
Row 47 Col 124
Row 47 Col 136
Row 48 Col 36
Row 48 Col 90
Row 48 Col 106
Row 48 Col 109
Row 48 Col 130
Row 49 Col 38
Row 49 Col 39
Row 49 Col 82
Row 49 Col 92
Row 49 Col 118
Row 49 Col 130
Row 50 Col 29
Row 50 Col 41
Row 50 Col 63
Row 50 Col 73
Row 50 Col 74
Row 50 Col 136
Row 51 Col 14
Row 51 Col 43
Row 51 Col 52
Row 51 Col 58
Row 51 Col 63
Row 51 Col 65
Row 51 Col 118
Row 52 Col 29
Row 52 Col 40
Row 52 Col 52
